,numOfNeigh,prediction errors
0,3,53.04309049687218
1,4,46.05804510548559
2,5,36.10617655784969
3,6,31.781349109425264
4,7,33.28604366443236
5,8,34.542647488847635
6,9,32.629461414451036
7,10,32.912909984293016
8,11,31.045110092492266
