,AdjustmentPeriod,ShortSig,LongSig,TotalCap,Capital,NumOfStocks,Position,SR
33,40,50,80,210377.02206365,109.60922464999021,1023.0,210267.412839,0.025530913532026075
34,60,50,80,205429.90618225,95.4531752500061,999.0,205334.453007,0.024532227964458676
35,80,50,80,206191.76780305,35.154824049991475,1003.0,206156.612979,0.024852219196516166
36,20,70,80,229213.63754615004,36.54535115004046,1115.0,229177.092195,0.028218172458359638
37,40,70,80,233645.22209370002,151.79004570000689,1136.0,233493.43204800002,0.028831964289286083
38,60,70,80,232121.03561030002,66.38351330001024,1129.0,232054.652097,0.028909013941618777
39,80,70,80,231237.48449945005,4.9923744500160865,1125.0,231232.49212500002,0.02842455126853913
40,20,10,100,188801.94653400002,116.2329599999963,918.0,188685.71357400002,0.024441845654313604
41,40,10,100,208149.68834579998,143.21542979999413,1012.0,208006.472916,0.02495935010880303
42,60,10,100,209459.8863823,14.633515299988304,1019.0,209445.252867,0.02518196352739998
43,80,10,100,209664.9084853,14.115625299990768,1020.0,209650.79286000002,0.025013468090044785
44,20,30,100,205158.3080625,29.39504849998616,998.0,205128.91301400002,0.02484978042741171
45,40,30,100,213432.34855115,81.83581714998581,1038.0,213350.51273400002,0.025825727763328744
46,60,30,100,208505.9726632,88.41976119998981,1014.0,208417.552902,0.02485496597238974
47,80,30,100,209262.769784,23.05690999998228,1018.0,209239.71287400002,0.025169584034278773
48,20,50,100,211573.63509195,72.98229494999987,1029.0,211500.65279700002,0.02571202902328261
49,40,50,100,216300.39551519998,72.3228791999918,1052.0,216228.072636,0.026163229120658407
50,60,50,100,210477.2036274,4.250795400000783,1024.0,210472.952832,0.02504012844834643
51,80,50,100,211157.93576855003,68.3629575499981,1027.0,211089.57281100002,0.02535989881071545
52,20,70,100,154661.8193502,95.74461419999261,752.0,154566.074736,0.01943970257477048
53,40,70,100,168405.30736305,68.05309604999366,819.0,168337.254267,0.01997732506907168
54,60,70,100,168343.9670379,6.712770899994396,819.0,168337.254267,0.01969976807867111
55,80,70,100,168577.0270184,34.23275839999485,820.0,168542.79426,0.019568119427240314
56,20,90,100,119194.93022354996,187.27427654995336,579.0,119007.655947,0.014383185803350068
57,40,90,100,171841.52592714998,10.091779149987588,836.0,171831.434148,0.020620335492201783
58,60,90,100,174555.11791489998,51.663857899988955,849.0,174503.454057,0.02083786690915588
59,80,90,100,176765.71165085002,1.3176708499910887,860.0,176764.39398000002,0.021023423259571888
60,20,10,120,215418.37696775,12.464303749987266,1048.0,215405.912664,0.025612239286642656
61,40,10,120,216161.3228405,138.79019749998497,1051.0,216022.532643,0.02589179719916238
62,60,10,120,217308.3942096,52.62160859998585,1057.0,217255.772601,0.02604593376422183
63,80,10,120,214408.19411004998,29.981411049987628,1043.0,214378.212699,0.02554711433039973
64,20,30,120,195659.00422765,2040.33082165,942.0,193618.67340600002,0.0248838625992129
65,40,30,120,226779.2397649,7673.607226899991,1066.0,219105.632538,0.02671801980252406
66,60,30,120,234122.14941774998,12.097390749989543,1139.0,234110.052027,0.028470937270617794
67,80,30,120,240699.80869355,12.47689054998257,1171.0,240687.331803,0.029407446147162668
68,20,50,120,167529.65799150002,14.563696499994194,815.0,167515.09429500002,0.02028250463481366
69,40,50,120,171856.25320829998,24.819060299992998,836.0,171831.434148,0.020703806921410113
70,60,50,120,166165.21789305,88.90354904999549,808.0,166076.314344,0.019186674133721455
71,80,50,120,167927.01970655,0.8454255499948431,817.0,167926.174281,0.01952266559177218
72,20,70,120,151979.4528791,85.3980520999794,739.0,151894.054827,0.01903795017861881
73,40,70,120,174138.17570654998,45.801635549992625,847.0,174092.374071,0.020360389660699935
74,60,70,120,179060.7878598,35.45395679999183,871.0,179025.33390300002,0.02177386791580677
75,80,70,120,178028.92519875002,31.291260749993057,866.0,177997.633938,0.02128347705144342
76,20,90,120,162381.72814524997,5.133675249971475,790.0,162376.59447,0.01990726385650394
77,40,90,120,174737.50108875,28.507038749979074,850.0,174708.99405,0.02054823385037404
78,60,90,120,181137.65722559998,56.923392599980104,881.0,181080.733833,0.021555723162887987
79,80,90,120,178892.58648124998,72.79257124997974,870.0,178819.79391,0.021357334050547447
